,uri,track,playlist,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
767,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Falling,12,romantic,0.5670000000000001,0.267,4,-6.502,1,0.029900000000000003,0.839,1.46E-06,0.089,0.0592,110.011
768,spotify:track:57YKyo8SW8lujChukFU3qY,The Same,12,romantic,0.493,0.313,2,-13.012,1,0.040600000000000004,0.86,0.109,0.0944,0.163,156.977
769,spotify:track:6SGG5AxHShqSYiV9fCWpZz,Stay Next To Me (with Chelsea Cutler),12,romantic,0.581,0.584,2,-4.928,1,0.28400000000000003,0.0805,0,0.366,0.756,179.954
77,spotify:track:5wJcMwXuy1x6EatowWOxha,Dancing In The Street - Stereo,3,upbeat,0.601,0.8280000000000001,11,-5.268,0,0.0453,0.108,2.35E-06,0.106,0.618,125.945
770,spotify:track:3UoULw70kMsiVXxW0L3A33,pov,12,romantic,0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.17300000000000001,131.798
771,spotify:track:5WtfUKzXircvW8l5aaVZWT,What A Time (feat. Niall Horan),12,romantic,0.516,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.861
772,spotify:track:58qX77t2VWMWcycsh9zKLc,i don't want to watch the world end with someone else,12,romantic,0.535,0.359,2,-9.343,1,0.060700000000000004,0.771,0,0.111,0.488,154.163
773,spotify:track:4BAWCedKFfdwxPFmFv4DMG,Toothpaste Kisses,12,romantic,0.462,0.427,9,-13.333,1,0.0792,0.893,0.101,0.37,0.47600000000000003,101.675
774,spotify:track:5ovVcYo2MvjVydFwFyaaqy,I Should Probably Go To Bed,12,romantic,0.721,0.277,1,-7.128,1,0.036500000000000005,0.634,0,0.112,0.309,131.935
775,spotify:track:7GLBqDKAJLCLIsj2GEDkSw,nobody else,12,romantic,0.5690000000000001,0.291,0,-14.509,1,0.043000000000000003,0.744,0,0.137,0.313,151.659
776,spotify:track:67H8U1DqJMTv9vCg7P95uR,You And I,12,romantic,0.554,0.786,9,-4.288,1,0.049100000000000005,0.0024000000000000002,0,0.148,0.358,120.057
777,spotify:track:385VOmGbguaPG57TgoW8Lh,24 Hours,12,romantic,0.35100000000000003,0.368,5,-8.132,1,0.0557,0.488,0.006030000000000001,0.124,0.362,84.224
778,spotify:track:429EttO8gs0bDo2SQfUNSm,Georgia,12,romantic,0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.09430000000000001,0.401,143.554
779,spotify:track:2IKJtXeR5UsaUjZB46fTOK,six thirty,12,romantic,0.739,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.434,120.109
78,spotify:track:4oq10QlUc3rvww1huvtA2j,"Mercy, Mercy",3,upbeat,0.896,0.374,9,-16.832,1,0.0746,0.23,0.000168,0.152,0.834,118.203
780,spotify:track:0ND8rF8oirMXtE59n585P6,17,12,romantic,0.774,0.466,4,-6.869,1,0.043300000000000005,0.458,0,0.111,0.396,97.975
