,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
378,"No Woman, No Cry",spotify:track:501YlAetaUihOReeVjAJq1,happy,0.92,0.336,6,-11.207,0,0.0737,0.517,0.558,0.0993,0.617,120.034
379,Careless Whisper,spotify:track:4uTeVyCIvptw95iGjb6Jfz,happy,0.803,0.513,10,-11.448,1,0.0279,0.691,0.00405,0.146,0.54,120.049
380,Roxanne,spotify:track:73FGoCU9GtnqpdKmnIcci2,happy,0.816,0.409,9,-7.576,1,0.0511,0.862,0,0.15,0.898,140.014
381,Stand By Me (Bossa version),spotify:track:7C7qWqnoMSzm1Dqphcua78,happy,0.837,0.351,4,-12.984,1,0.0334,0.885,0.00392,0.104,0.516,114.964
382,Hey Brother,spotify:track:6KjeFfePSDrlvsOb1aXqwy,happy,0.855,0.206,6,-16.284,1,0.0465,0.909,0.000121,0.101,0.535,109.992
383,Bleeding Love (Bossa Version),spotify:track:6USGOSD8d9KCbpVsAMDpK6,happy,0.678,0.254,2,-12.122,1,0.0313,0.948,0,0.1,0.303,116.99
384,Mrs. Robinson (Bossa version),spotify:track:7l9PKjqqr8QaOUm3sO7wxr,happy,0.765,0.307,2,-14.483,1,0.0393,0.881,7.7e-05,0.187,0.831,140.031
385,Shape of You,spotify:track:3FGjZhoaqR83UViLXk4boR,happy,0.533,0.407,7,-10.602,0,0.107,0.736,0.00116,0.27,0.855,90.134
386,Wonderwall,spotify:track:5prVNiMkpcCPPNXNcWPEeb,happy,0.746,0.456,4,-12.344,1,0.0263,0.81,0.808,0.0936,0.436,112.012
387,Don't Speak,spotify:track:16FVLMp4wNmVe471RB36He,happy,0.71,0.283,9,-13.245,0,0.0315,0.89,0,0.126,0.575,130.072
388,I Will Survive,spotify:track:5NuBYjS5jBerRMuDv77VHL,happy,0.659,0.321,4,-14.645,0,0.0458,0.772,3.58e-06,0.266,0.284,98.855
389,Nothing Breaks Like A Heart,spotify:track:6H9YOcdqbggBgH3eOaCPE0,happy,0.629,0.205,7,-14.54,0,0.045,0.886,3.31e-05,0.109,0.297,94.441
390,With Or Without You (Bossa Version),spotify:track:7yly7CFogmyVG0Q0PBu5cP,happy,0.746,0.176,9,-15.351,0,0.0353,0.95,0.000335,0.0967,0.239,109.964
391,Do You Know (The Ping Pong Song) (Bossa Version),spotify:track:3KZN0tA4b4BdhiJYQYlprg,happy,0.847,0.305,2,-15.937,1,0.0394,0.848,0,0.162,0.665,109.909
392,Good & Plenty - Remix,spotify:track:6T3Ebo7EOh8cUOyE4OhFpp,chill,0.65,0.582,9,-6.543,0,0.101,0.811,0.00314,0.0812,0.369,135.894
393,Can't Let It Show,spotify:track:2kMarngrIWYgmAdVjruuuW,chill,0.392,0.548,6,-5.929,1,0.101,0.376,0.000138,0.084,0.162,78.443
394,Same Space? - Remix,spotify:track:1sVEcxx3au6WWt8WcQO4N9,chill,0.545,0.387,4,-8.558,1,0.0541,0.221,0,0.0974,0.409,67.829
395,Dynamite.,spotify:track:5Jg9DV3m2umJpoHXV2e6j8,chill,0.358,0.356,8,-7.477,0,0.0543,0.799,0,0.196,0.231,81.154
396,Set Him Up (feat. Ari Lennox),spotify:track:0FhfNle9FovXRL03awCJbe,chill,0.762,0.527,1,-7.266,0,0.203,0.206,0.0086,0.0963,0.516,77.493
397,Nobody But You,spotify:track:6VFKuuqSbA1GpMEosUgTwQ,chill,0.637,0.299,7,-11.314,1,0.0366,0.742,0,0.359,0.364,83.872
398,Addicted,spotify:track:6PpvvZ4peEt9tHfrxSCnzW,chill,0.466,0.619,1,-6.126,1,0.0855,0.46,0,0.0556,0.377,117.279
399,Right,spotify:track:6KDuOXvVXAS0aYHUvLIUs3,chill,0.441,0.196,6,-14.036,0,0.0558,0.662,5.23e-05,0.104,0.0822,98.925
400,Get Away,spotify:track:3BG5gqXSxHElhciH75rRZi,chill,0.358,0.534,3,-4.762,0,0.0379,0.661,1.07e-05,0.102,0.187,76.443
401,In My Corner,spotify:track:0T56FSDWcKwWfXy2MXAzZG,chill,0.678,0.47,1,-7.306,1,0.235,0.258,0,0.175,0.272,89.992
402,Insecure (feat. Pink Sweat$),spotify:track:13KLstO6ywva9h94FOqpeW,chill,0.462,0.397,9,-5.72,1,0.115,0.857,0,0.091,0.298,154.955
403,the catch up,spotify:track:18jvxnVVhtTVhLL6dE1JPs,chill,0.821,0.37,8,-10.865,0,0.0697,0.39,0.00215,0.102,0.505,125.019
404,SURF (feat. Masego),spotify:track:1lxs63LaZX1wHBr0qIt5oK,chill,0.603,0.569,11,-7.472,0,0.346,0.11,0.000459,0.101,0.305,166.051
405,Too Sweet (feat. Unknown Mortal Orchestra),spotify:track:1zw58wBujy79wxhOoxHxii,chill,0.697,0.668,10,-6.274,0,0.0646,0.113,5.46e-05,0.239,0.642,119.764
406,F.U.C.K.,spotify:track:0iDuW211AjTsYDPsLxyqX4,chill,0.761,0.397,8,-9.48,0,0.0516,0.709,0.105,0.166,0.464,127.971
407,Cooking With Grease,spotify:track:1AXQGKyaAp4JbRjHnCTBIr,chill,0.547,0.523,7,-7.595,0,0.142,0.229,6.05e-06,0.101,0.408,169.569
408,My City ft. Masego,spotify:track:3Q8RBppQeYLLHafNb2cJTz,chill,0.761,0.536,11,-7.487,0,0.119,0.0754,0,0.154,0.525,133.04
409,Pick A Side (Remix),spotify:track:7KRBMbHzWF4cwhWztWYUQ3,chill,0.461,0.745,0,-4.152,0,0.292,0.385,0,0.386,0.834,165.472
410,FWM,spotify:track:7aJwamBFV2pjHTXUnlDgZb,chill,0.615,0.551,7,-6.763,0,0.144,0.285,0.00105,0.109,0.363,142.019
411,June 1st,spotify:track:4sGytBCmSavdzoFQdXoTX2,chill,0.386,0.439,7,-9.336,0,0.0583,0.847,0,0.109,0.35,173.746
412,Peaches (feat. Daniel Caesar & Giveon),spotify:track:4iJyoBOLtHqaGxP12qzhQI,chill,0.677,0.696,0,-6.181,1,0.119,0.321,0,0.42,0.464,90.03
413,Roses,spotify:track:6pOe7SyDflmg8RXVtCG5tK,chill,0.536,0.427,4,-8.083,0,0.361,0.355,0,0.13,0.607,73.608
414,Intruded,spotify:track:0sWSdNGH0bsD3NqjXvSacf,chill,0.633,0.498,9,-5.722,1,0.0418,0.498,7.27e-06,0.173,0.371,107.223
415,All About You,spotify:track:2uddLj27GIDBIdwRuIomE4,chill,0.746,0.454,9,-8.79,1,0.0583,0.122,1.52e-05,0.296,0.268,121.921
416,Exposure,spotify:track:0tHWsBI54oBishkTwMwd9Y,chill,0.548,0.564,3,-5.534,1,0.0766,0.395,0,0.116,0.476,110.771
417,Fiji Fine,spotify:track:3Q0S0vFNDJviYsMaeo4wIi,chill,0.701,0.631,0,-6.7,0,0.0461,0.443,0.000123,0.101,0.78,82.484
418,Show U Off,spotify:track:00selpxxljfn9n5Pf4K3VR,chill,0.583,0.405,0,-11.295,1,0.0534,0.643,0.00391,0.108,0.549,84.997
419,A Moment,spotify:track:72rJE1F8Gy2V07SaWG9ZWV,chill,0.525,0.24,5,-7.568,0,0.0267,0.939,4.85e-06,0.105,0.369,90.147
420,Better Than I Imagined [Feat. H.E.R. & Meshell Ndegeocello] - KAYTRANADA Remix,spotify:track:5A3aEJL7HkijkxLFXMv7FN,chill,0.566,0.357,10,-10.932,0,0.222,0.0157,0,0.121,0.219,81.404
421,Speak To Me (Queen Mix) (feat. Queen Naija),spotify:track:5e3VQH0pOjv9bSrbJhg4kf,chill,0.644,0.597,0,-5.688,0,0.235,0.354,0,0.13,0.69,82.467
422,Rider,spotify:track:2WCfrMUBoTpmA2pqbN8vqw,chill,0.605,0.564,8,-11.223,1,0.139,0.255,0,0.135,0.487,77.556
423,Already There,spotify:track:67MpXN05qxu09WaM98n6RD,chill,0.705,0.537,1,-6.151,0,0.0703,0.128,0,0.14,0.265,147.884
424,Last Love,spotify:track:15hQDO74LAH1lXyqUDVNc4,chill,0.592,0.668,1,-6.559,1,0.0571,0.079,0.000562,0.116,0.454,91.014
425,In Too Deep (feat. Kiana Ledé),spotify:track:3nGhp4FuIaitNYn4s7XHaX,chill,0.661,0.29,9,-14.568,1,0.0453,0.605,0.0096,0.0629,0.13,151.887
426,Damn,spotify:track:3GI61nYQMfL6diHPFU0YLB,chill,0.428,0.546,5,-7.954,1,0.0452,0.785,0.000112,0.123,0.46,139.868
427,Look Easy,spotify:track:2yZGCQvnHUC9KaLuMh7cx8,chill,0.778,0.567,3,-10.699,0,0.0422,0.0819,6.98e-05,0.37,0.946,139.964
428,GIFTED,spotify:track:6jCvpNfDksF9ociFet0nE3,chill,0.472,0.472,5,-8.844,1,0.0451,0.369,0.171,0.111,0.121,159.765
429,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B,chill,0.653,0.524,11,-9.016,0,0.0502,0.112,0,0.203,0.553,83.97
430,Superstar,spotify:track:55q1k6Ewwy1CWdHT4niANb,chill,0.504,0.492,9,-7.634,1,0.237,0.696,4.2e-05,0.369,0.478,72.974
431,Slow Down,spotify:track:5nRm6kz4ntiBGtygxGg5Dy,chill,0.692,0.599,11,-5.941,1,0.0398,0.198,0.000315,0.392,0.369,113.034
432,One More Kiss,spotify:track:5Tfhu1RyUKxxkrurEBGPuj,chill,0.687,0.297,1,-11.611,0,0.0342,0.891,0.00347,0.107,0.311,77.043
433,Baby Powder,spotify:track:7t4ihBlcMdkyUeO6W1DfYH,chill,0.784,0.521,1,-8.217,0,0.0529,0.323,0.000283,0.0518,0.682,78.456
434,235 (2:35 I Want You),spotify:track:5yGAyupR8TXCUq3MPb7xiK,chill,0.607,0.677,11,-5.858,0,0.175,0.363,0,0.302,0.211,139.974
435,Down,spotify:track:6pduF6NCbC5Cymo3AFqNr3,chill,0.455,0.466,6,-7.338,0,0.0432,0.185,1.68e-06,0.112,0.155,108.185
436,Easy,spotify:track:4k6eg0pf9IeopgOREVkj5T,chill,0.489,0.36,11,-10.047,0,0.0933,0.846,0,0.377,0.555,125.153
437,Right Time,spotify:track:279rl4oKt4TZGxMOaQa34T,chill,0.715,0.326,4,-11.664,0,0.0749,0.0569,2.47e-06,0.112,0.231,76.497
438,Organic,spotify:track:5DyvKrRpUufwtWTHcJ5fb8,chill,0.486,0.602,6,-7.379,1,0.394,0.279,2.27e-05,0.104,0.483,98.095
439,Two Ways,spotify:track:7GIPHrEFcN8pt7ORkkJemv,chill,0.679,0.463,1,-8.146,1,0.126,0.0485,0,0.114,0.286,160.054
440,Exit,spotify:track:7z6VTwkfEhX25WWy1xC75O,chill,0.479,0.362,4,-6.759,0,0.0596,0.545,0.000201,0.524,0.48,158.281
441,Take Care of You (feat. Syd),spotify:track:2ENxOXbxhfJ3lfItO0MFDv,chill,0.683,0.486,4,-9.726,0,0.11,0.822,0.0227,0.276,0.279,126.985
442,Don Dada,spotify:track:6B3NBWtTa7WuPILwpAz6D5,confident,0.851,0.948,6,-5.971,1,0.223,0.000477,1e-06,0.243,0.784,124.952
443,Hallucinate,spotify:track:1nYeVF5vIBxMxfPoL0SIWg,confident,0.627,0.69,10,-5.396,0,0.139,0.033,0,0.0742,0.627,122.053
444,Better Off Without You (feat. Shift K3Y),spotify:track:3oIVK7arAFuUOCGafPLxSC,confident,0.682,0.855,7,-3.282,1,0.0401,0.0566,1e-06,0.101,0.304,124.004
445,Get Creative,spotify:track:3j35UwERMOYiu7v8IxjeWo,confident,0.581,0.86,11,-5.077,0,0.28,0.00169,0.00039,0.114,0.86,123.126
446,Don’t Need Love (with GRACEY),spotify:track:7uBaKZZVK0OZ6cqFGpGRXI,confident,0.702,0.716,7,-5.378,0,0.0867,0.407,0,0.0749,0.607,123.893
447,Habits (Stay High),spotify:track:1Cnh9OJqRQq37e59nvaxQg,confident,0.695,0.639,5,-7.21,1,0.0797,0.125,0,0.378,0.447,121.978
448,Get Me Some - AC Slater Remix,spotify:track:7zGtrB72lZ7qG3M23LB9gJ,confident,0.873,0.726,9,-6.877,0,0.043,0.0121,0.173,0.0478,0.784,128.003
449,Painkiller,spotify:track:4PHDxMwPsCCb3FqbZW65qv,confident,0.663,0.826,9,-3.786,0,0.159,0.00165,0,0.165,0.322,123.972
450,Let Me Love You,spotify:track:5kgeY10kFAXvA3l6xuOEhE,confident,0.682,0.837,7,-3.304,0,0.0455,0.253,0,0.0789,0.531,117.022
451,Everybody Dance (feat. Nile Rodgers),spotify:track:2KP2670rcQA5XRZyQcVhDK,confident,0.628,0.928,0,-3.698,0,0.0621,0.00862,0.713,0.0651,0.68,123.953
452,Heaven On My Mind (with Sigala),spotify:track:7bIq1v8svANsAys7I694Up,confident,0.71,0.891,0,-3.116,0,0.0749,0.0313,0,0.365,0.705,125.024
453,Freedom (Never Let You Go),spotify:track:6UInRRRj9t0fz0MZqWIZvg,confident,0.585,0.834,6,-7.122,0,0.206,0.00391,0.0363,0.118,0.593,126.119
454,Dancing in the Moonlight (feat. NEIMY) - Nathan Dawe Remix,spotify:track:2gJ3YaUoh90BwIFfC8tUoJ,confident,0.588,0.785,11,-5.829,0,0.0655,0.121,0,0.239,0.359,124.943
455,Black Magic,spotify:track:7zx1i0jGcFwMBurajgKlO7,confident,0.812,0.634,8,-4.96,1,0.163,0.0564,0,0.276,0.463,124.074
456,Back Again,spotify:track:6qXqEbrWElTwzGOvWzFeUH,confident,0.801,0.934,10,-4.672,0,0.0509,0.0357,0.922,0.0934,0.304,120.989
457,Sundown,spotify:track:6e40VGmlR2S8yhmBNkISlP,confident,0.892,0.861,9,-4.998,0,0.129,0.819,0.00337,0.161,0.814,133.051
458,I Got U,spotify:track:3tWMfCp9ijx3V57rRsGMSo,confident,0.693,0.968,2,-5.202,1,0.3,0.0277,0.204,0.127,0.294,126.959
459,Love To Give (with Culture Shock & Billy Lockett),spotify:track:0Rww3ql3uRmzTvLOVBFlpn,confident,0.454,0.977,11,-0.945,1,0.069,0.0819,0.00463,0.141,0.311,173.797
460,Gummi,spotify:track:0M1TmihMcCg3gYHxLlduh0,confident,0.632,0.804,8,-4.514,1,0.0335,0.000814,0.732,0.0959,0.493,126.005
461,Runaway,spotify:track:5vHnfwMgl66TXXHJU2PEeO,confident,0.785,0.828,6,-6.475,0,0.181,0.00566,0.00147,0.283,0.901,131.978
462,I Got You,spotify:track:5DF2KFDVeC7wF5CXipl9WN,confident,0.711,0.876,5,-4.144,1,0.0551,0.145,0,0.116,0.706,122.969
463,Honey - Edit,spotify:track:7tC0AjIzrRS18lO8kaZGuT,confident,0.879,0.828,10,-7.979,0,0.0636,0.00242,0.158,0.0787,0.471,126.994
464,Burn It Down,spotify:track:4WYWJbedXbaePwyrdCsuzS,confident,0.751,0.939,6,-8.243,0,0.0636,0.00102,0.879,0.482,0.857,125.987
465,Rely,spotify:track:6oQV4xYifCFSWvT7a8l6we,confident,0.676,0.916,5,-3.896,1,0.0553,0.388,0.000141,0.117,0.714,120.063
466,Off My Shoulders - Junior Simba Remix,spotify:track:4AG7izkjjzuRPKTAhhGEZ3,confident,0.694,0.796,5,-8.043,0,0.0436,0.00128,0.852,0.149,0.404,129.971
467,Me & U (feat. Kelsey),spotify:track:45iBqrcycpuwrqxbTEyLGa,confident,0.636,0.924,8,-4.112,0,0.0293,0.00289,0.000271,0.756,0.85,125.002
468,Armaghetton,spotify:track:5V55t8Ss6n1zU9ScKrdYwP,confident,0.885,0.775,6,-7.298,1,0.0459,0.00437,2.44e-05,0.0171,0.786,130.007
469,Retina Scan,spotify:track:2id30BZD0P4KBkwDgoNikP,confident,0.597,0.807,4,-6.717,1,0.0393,0.000425,0.525,0.0987,0.74,129.982
470,Right Here,spotify:track:3ggpI6hqvqvlSim7E7TFaX,confident,0.774,0.933,0,-4.389,1,0.0634,0.00346,0.821,0.0962,0.699,136.971
471,Afraid (feat. HARLEE),spotify:track:4FUFk1uJuPtUJrDQ8ZSylK,confident,0.744,0.78,10,-3.631,0,0.0529,0.101,4.36e-06,0.184,0.762,125.997
472,Daydream,spotify:track:6K73R1COAkBe5vrTXetiea,confident,0.733,0.703,10,-5.198,1,0.0387,0.403,6.41e-06,0.351,0.864,124.059
473,Get Down,spotify:track:6fC3QaooXMZMQLbvxequ2N,confident,0.849,0.942,7,-5.528,1,0.1,0.00547,0.729,0.0348,0.551,125.978
474,Energy,spotify:track:7gOdmNazfs5qdtsgWOB1Z4,confident,0.703,0.822,5,-5.142,0,0.0366,0.000327,0.682,0.278,0.443,125.004
475,Freedom - Sub Focus & Wilkinson,spotify:track:4tElcYfEro42oZe7X6AbEf,confident,0.357,0.837,0,-4.083,1,0.0458,0.0213,8.63e-06,0.298,0.0395,174.096
476,Hit List,spotify:track:1dQtt3K8GyPmH7ZD1LJ2ox,confident,0.803,0.902,1,-2.934,1,0.0676,0.00533,0.667,0.111,0.628,126.999
477,Flowers (feat. Jaykae and MALIKA),spotify:track:5aYWnrsYvJk8NT7PmUcxVN,confident,0.672,0.925,5,-4.517,0,0.0774,0.015,0,0.289,0.447,126.096
478,Told You Once (feat. Mila Falls),spotify:track:5lPRHMAjpXLkMfyjdvsPC9,confident,0.578,0.942,0,-4.787,0,0.044,0.0215,0.624,0.114,0.542,124.02
479,Everything,spotify:track:7oUNrA6o4JG74ljOWPDbkC,confident,0.788,0.638,1,-10.504,1,0.0449,2.55e-05,0.154,0.0338,0.627,123.998
480,Girl With The Bat (feat. Shadow Boxxer) - Eli & Fur Remix,spotify:track:79yILNpjoYUFKmma3nHz2j,confident,0.773,0.935,11,-4.932,0,0.099,0.00113,0.876,0.0822,0.387,123.014
481,Time Is Hardcore (feat. Kae Tempest & Anita Blay),spotify:track:5Lyob6xsxXYSkXJd4Te2mO,confident,0.605,0.711,1,-6.717,1,0.0688,0.0113,0.00648,0.112,0.341,172.977
482,I'm Just Sayin' - Radio Edit,spotify:track:4YviPw2SBoQbGklWcFy014,confident,0.687,0.727,2,-8.54,1,0.0304,0.0284,0.936,0.0963,0.256,124.841
483,Thru Your Mind (feat. Sâlo),spotify:track:277xBb6mGl8yNEY3tjntiP,confident,0.897,0.827,11,-5.465,0,0.165,0.0905,0.036,0.112,0.529,130.004
484,Good,spotify:track:0LEEtJg8hHOyytcotgnaKq,confident,0.611,0.923,7,-4.777,0,0.0822,0.0741,0.000109,0.11,0.644,124.024
485,YES,spotify:track:0J4UbfICL0wVeDin7p8Str,confident,0.708,0.897,2,-4.08,0,0.134,0.00911,0.0343,0.161,0.387,130.079
486,Get Out My Head,spotify:track:3E90ms8h0i9uN1fVyUjsEy,confident,0.693,0.913,0,-3.035,1,0.0298,0.0542,6.87e-05,0.231,0.795,123.989
487,Living In A Dream,spotify:track:4Bft1AUpbtGrufPoWnUhtJ,confident,0.567,0.972,6,-3.955,1,0.0512,0.000333,0.00787,0.553,0.507,125.046
488,Nothing For Free,spotify:track:7eJqLdEQ96D5Xzc406xkeZ,confident,0.473,0.929,3,-3.825,0,0.0406,0.00353,0.000289,0.113,0.771,160.076
489,Thinkin' of You,spotify:track:30T1syZuFJdIKQ79JnSoJR,confident,0.759,0.784,1,-6.158,1,0.0634,0.0197,2.45e-05,0.0474,0.962,133.03
490,Free,spotify:track:6EPGtphCuHsB3UqPCz7vCZ,confident,0.541,0.931,9,-5.964,0,0.0517,0.0467,0.157,0.107,0.235,123.96
491,The ISH,spotify:track:1FYzKH6Zac8iBkAP52tnFo,confident,0.805,0.797,2,-8.894,1,0.058,0.00361,0.904,0.124,0.43,125.005
492,Starting Over,spotify:track:3TNSVsiFngfe68UJpMq1oS,chill,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124
493,I Ain't Ever Loved No One - Acoustic,spotify:track:2z3HKlpENvfz1Am2MNF2pL,chill,0.322,0.213,10,-14.915,0,0.0318,0.611,0,0.113,0.16,160.389
494,Where You Are - Acoustic,spotify:track:4OrDWRw53W0rp1Lps64OFb,chill,0.387,0.174,2,-14.765,1,0.0323,0.614,0,0.12,0.213,161.304
495,Where the Heart Is,spotify:track:4qaBHFw6eN6Oxa7gBXOvxv,chill,0.518,0.611,0,-8.812,1,0.0317,0.111,1.74e-05,0.109,0.257,87.116
496,Forever Girl,spotify:track:4JBKYoKFRijmnOEfFiNhbM,chill,0.581,0.439,11,-5.817,1,0.0273,0.37,0,0.092,0.324,140.161
497,In His Arms,spotify:track:221KYcs5zXX4ew6f8mumse,chill,0.641,0.101,0,-14.288,1,0.0396,0.941,2.21e-06,0.377,0.217,98.596
498,Whiskey To My Soul,spotify:track:7pSr5TCyEHPPRTXJNAtkNz,chill,0.528,0.457,8,-7.348,1,0.0353,0.213,0,0.103,0.289,151.766
499,A Simple Song,spotify:track:1XXl9pl7ObojHbyJetY75n,chill,0.611,0.198,5,-16.525,1,0.0285,0.87,0.000432,0.109,0.412,77.301
500,Dancing Shoes,spotify:track:5SZ4luA49qt2ZeJTh4jPOq,chill,0.594,0.415,7,-6.99,1,0.0277,0.141,1.58e-06,0.105,0.205,138.032
501,Asking For A Friend,spotify:track:0zHJGLoaIkxwC41fw1os5w,chill,0.713,0.527,4,-7.512,1,0.0329,0.238,7.49e-06,0.111,0.445,123.006
502,The House That Built Me,spotify:track:02eD9ymfJOJOhM97HYp5R9,chill,0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12
503,Autumn Town Leaves,spotify:track:4xI1VwZa8u3ymeS8hsHKed,chill,0.662,0.322,1,-15.116,1,0.0305,0.855,0.00183,0.144,0.429,115.677
504,What If I Stay,spotify:track:0v2pLTGuWGYaDr3bHyHOnV,chill,0.58,0.653,4,-6.051,1,0.0275,0.131,4.65e-05,0.116,0.232,94.021
505,Lean on Me,spotify:track:40lIdCGMiDekGW2YVxhQkh,chill,0.599,0.333,11,-7.967,1,0.0351,0.335,0,0.113,0.735,179.686
506,Without A Word,spotify:track:4e6dpHanuFVUxou9bKkLDN,chill,0.579,0.171,11,-14.495,1,0.0303,0.901,0.000308,0.111,0.389,136.311
507,The Trouble with Wanting,spotify:track:0a1Jael2mnrkLTyPetixjh,chill,0.396,0.198,2,-9.096,1,0.031,0.912,0,0.0972,0.19,138.624
508,Dreamer,spotify:track:0PZLSFZUf910nZ9qFtQqAf,chill,0.629,0.383,8,-13.195,1,0.044,0.735,0.0259,0.0928,0.421,154.001
509,People Change,spotify:track:1iepnn71MidOJZ7Y3vfgE4,chill,0.374,0.276,7,-14.945,1,0.0353,0.884,0.0123,0.122,0.412,80.169
510,Stay With Me,spotify:track:4y8Ry52k2gSPsGg5DNoUy1,chill,0.686,0.476,7,-7.921,1,0.0471,0.249,0,0.106,0.592,93.008
511,Sunday Drive,spotify:track:2TIdEu4aruzo33MTEUDGcf,chill,0.327,0.214,3,-10.382,1,0.0355,0.928,0,0.104,0.351,73.863
512,The Only Boy Awake,spotify:track:4tRt91OQSbE9eFA3RwgqSd,chill,0.52,0.48,5,-10.288,1,0.0303,0.61,0.0344,0.107,0.405,122.086
513,It'll Work Itself Out,spotify:track:1WvRxjDesc8qkTwYQO55gI,chill,0.625,0.432,5,-12.19,1,0.0313,0.108,0.00304,0.0995,0.538,98.002
514,The Captain's Daughter (Johnny Cash: Forever Words),spotify:track:5ZZtNu0ZMABs6Jwomk8isG,chill,0.506,0.354,1,-10.497,1,0.0325,0.824,0.00189,0.147,0.371,82.606
515,Swimming Alone,spotify:track:3rGe3ed1wHvPNgAlwNO686,chill,0.572,0.493,2,-6.859,1,0.0295,0.493,4.48e-06,0.0817,0.171,160.067
516,True Believer,spotify:track:7MU641dWQo8zzExfQD7HW0,chill,0.485,0.293,0,-6.732,0,0.0274,0.884,0.000126,0.117,0.297,143.475
517,The Time I've Wasted,spotify:track:1JtvwshkJMxfm4oRhJp93C,chill,0.473,0.25,5,-11.263,1,0.0304,0.796,8.83e-05,0.101,0.261,145.027
518,Louise,spotify:track:6lg1rLyW6bDMxZVesz0WAO,chill,0.639,0.381,10,-9.428,1,0.0321,0.768,2.25e-06,0.214,0.489,89.897
519,The Power of Love,spotify:track:1iNYdCibKLEcnmwVvo0GiK,chill,0.667,0.282,1,-10.071,1,0.0415,0.44,0,0.214,0.462,94.018
520,Wait Up For Me,spotify:track:1pLbS57mLE8iG4njSQIAtX,chill,0.652,0.24,10,-15.691,1,0.0295,0.678,0.00652,0.0784,0.257,83.02
521,This Town Still Talks About You,spotify:track:7yPmspgKN5MPOVlyAWFtsa,chill,0.522,0.47,0,-9.52,1,0.0242,0.00791,1.54e-06,0.103,0.344,95.957
522,"Here, Right Now",spotify:track:6YUK2Pb8tM5j9yreLATCKt,chill,0.496,0.391,10,-9.844,1,0.0311,0.826,0.0126,0.108,0.492,108.868
523,The Night We Met,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,chill,0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997
524,Nothing New,spotify:track:3lcPNrCGKYelcmE6PnInp4,chill,0.486,0.321,3,-7.775,1,0.0274,0.926,4.19e-06,0.108,0.307,89.311
525,Lost In Your Love,spotify:track:11dJXX4oXQBZLkVwuQ8oxw,chill,0.82,0.624,0,-6.386,1,0.0574,0.225,1.38e-06,0.168,0.633,106.023
526,Never in My Wildest Dreams,spotify:track:3MJov5mT64K42o1Rffhblq,chill,0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21
527,What Am I Here For,spotify:track:5LqsH9S2zTsamP8qzoKgqu,chill,0.394,0.0826,7,-12.172,1,0.0392,0.946,0.00297,0.154,0.0932,131.512
528,Back to You,spotify:track:5tXygo2KgUWVhpvYW7r0I5,chill,0.483,0.309,1,-15.851,1,0.0327,0.506,0.0102,0.113,0.511,92.877
529,Cheap Suit,spotify:track:2yWTcrs09YISrT3yXZB5Bp,chill,0.502,0.0596,3,-16.977,1,0.0361,0.928,2.66e-05,0.125,0.317,133.168
530,Sleeve - Piano Version,spotify:track:15N4xIDxRNB9pRjvAHqt7Q,chill,0.711,0.361,0,-7.303,1,0.0347,0.882,0,0.11,0.209,115.004
531,Somebody’s Problem,spotify:track:0SErdEdRcVX1uJCf1eTGYH,chill,0.657,0.54,5,-7.675,1,0.0287,0.662,0,0.123,0.625,136.97
532,The Love That We Need,spotify:track:31dEh1OeZGv61RZzDIixue,chill,0.369,0.365,4,-9.869,1,0.0451,0.708,0.0343,0.108,0.222,181.019
533,Woulda Left Me Too,spotify:track:5GOLGi2dpY0oYwVmxZXjL8,chill,0.564,0.452,4,-8.588,1,0.0603,0.673,0.00105,0.0923,0.173,147.912
534,Hold onto Me,spotify:track:0a45Bcf67CvGVCIaiydEzq,chill,0.715,0.668,10,-8.165,1,0.0332,0.469,3.72e-05,0.117,0.67,142.018
535,Supernova,spotify:track:66xwYKVQrraFqAwHyCDGao,chill,0.43,0.182,7,-10.36,1,0.0368,0.901,7.98e-06,0.122,0.162,116.398
536,Brightest Stars (Coffeehouse Mix),spotify:track:6TQr42YuRXNP5yPjKxXoQi,chill,0.677,0.445,9,-7.592,1,0.0343,0.44,0,0.12,0.25,151.844
537,Coming Down the Mountain,spotify:track:43bkejyRlzXjVGKvXYLHzg,chill,0.582,0.344,4,-9.148,1,0.0278,0.857,0.0871,0.15,0.374,140.013
538,Run of Good Luck,spotify:track:28as0lgulKikhNu8TZeb66,chill,0.544,0.166,6,-12.926,1,0.0347,0.701,2.95e-06,0.106,0.306,130.507
539,Nothing Like You,spotify:track:52GgfKWo0tdSbq8trVhgUj,chill,0.608,0.496,0,-8.929,1,0.0309,0.558,1.15e-05,0.152,0.506,77.037
540,Find Me Here - Broke Down,spotify:track:0iXQ0GWaYAC4XMivDRYR5Y,chill,0.611,0.305,4,-8.107,1,0.0336,0.747,0,0.0916,0.218,79.211
