,track,uri,mood,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
37,how will i rest in peace if i'm buried by a highway?//,spotify:track:0eENgTgNVheMpLiQO5aveL,confident,0.486,0.839,4,-4.537,1,0.0967,0.0128,3e-06,0.197,0.47,159.928
38,Chelsea Dagger,spotify:track:3ItzRpwvKtkDSNdRSjXu7Z,confident,0.512,0.817,7,-3.154,1,0.142,0.0505,0,0.0775,0.552,154.607
39,Freeze Me,spotify:track:3PBXTtPiOqfYcbc30ydVTz,confident,0.495,0.747,0,-5.302,1,0.0328,0.000735,0.000356,0.192,0.457,130.04
40,hometown,spotify:track:2kFKIFc5RSTlhuGed6ZNZ7,confident,0.315,0.826,7,-4.315,0,0.0644,0.000621,0.000669,0.0703,0.359,139.163
41,Golden,spotify:track:5PIxPhOifdCCdJYm6XcEgk,confident,0.478,0.839,9,-4.932,1,0.162,0.000454,0,0.541,0.644,99.965
42,Your Love Could Start a War,spotify:track:4Bat75aAUU5ZgW0oN7G5p4,confident,0.493,0.879,4,-3.305,0,0.0737,0.035,0.00116,0.343,0.567,120.066
43,Born For Greatness,spotify:track:2VDdoBA24QICNHn5JkJwyE,confident,0.518,0.849,9,-5.472,0,0.0664,0.0561,0,0.0569,0.299,134.093
44,Prophets Of Rage,spotify:track:1bTVbi6uwmGwlsXy2soxpg,confident,0.621,0.935,5,-5.516,0,0.0366,0.000785,0.00191,0.242,0.885,99.981
45,The Middle,spotify:track:3mcG2NI5G5vhrQtRda1YnA,confident,0.629,0.897,2,-3.401,1,0.0483,0.0424,0,0.263,0.93,161.944
46,Painkiller,spotify:track:15BsrefgYpMgu1ZCIr8EJw,confident,0.398,0.92,2,-3.267,0,0.0491,0.00311,0.000531,0.108,0.226,200.131
47,Amsterdam,spotify:track:3meXdlcyYTgukuOfX6VyhJ,confident,0.513,0.932,10,-5.016,1,0.172,0.00456,2.48e-05,0.245,0.665,168.062
48,Highway Tune,spotify:track:6LG5yHz0f1NfINREp1QsMI,confident,0.584,0.955,4,-3.228,1,0.0457,0.00607,0.245,0.143,0.473,123.991
49,Cut the Cord,spotify:track:4LFBVDJV0xpayUvquQVzhS,confident,0.447,0.966,7,-2.966,1,0.089,0.00349,0.000198,0.312,0.533,178.105
50,My Name Is Thunder,spotify:track:4Auog9KgBRR5tGLgxB7CW5,confident,0.409,0.939,9,-3.239,1,0.0896,0.0112,0.000199,0.778,0.344,127.883
51,Welcome To The Jungle,spotify:track:5NIPsWpDjJTFBoPxCUUeXp,confident,0.445,0.955,8,-8.027,1,0.0856,0.0326,0.284,0.317,0.336,123.343
52,Monkey Wrench,spotify:track:44wXefe8WB9Fd6xwtmAwbR,confident,0.401,0.953,4,-4.276,1,0.0752,1.83e-05,2.56e-05,0.149,0.555,174.217
53,"Hook, Line & Sinker",spotify:track:5I69y4P1gq3WA2B5AHVicr,confident,0.51,0.896,7,-5.217,1,0.0363,0.000614,1.5e-05,0.252,0.492,88.034
